21-11-2019 13:22:33.239 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize - Initializing ExecutorService 'applicationTaskExecutor'
21-11-2019 13:22:33.295 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping.<init> - Adding welcome page: class path resource [static/index.html]
21-11-2019 13:22:33.381 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 8080 (http) with context path ''
21-11-2019 13:22:33.385 [main] INFO  c.d.dawangj.demo.DawangjApplication.logStarted - Started DawangjApplication in 1.165 seconds (JVM running for 1.912)
21-11-2019 13:22:40.641 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring DispatcherServlet 'dispatcherServlet'
21-11-2019 13:25:26.766 [RMI TCP Connection(13)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin.shutdown - Application shutdown requested.
21-11-2019 13:25:26.768 [RMI TCP Connection(13)-127.0.0.1] INFO  o.s.s.c.ThreadPoolTaskExecutor.shutdown - Shutting down ExecutorService 'applicationTaskExecutor'
21-11-2019 13:25:32.863 [main] INFO  c.d.dawangj.demo.DawangjApplication.logStarting - Starting DawangjApplication on HANM14698.local with PID 19712 (/Users/dawang/Documents/workspace-spring-tool-suite-4-4.3.0.RELEASE/dawangj/target/classes started by dawang in /Users/dawang/Documents/workspace-spring-tool-suite-4-4.3.0.RELEASE/dawangj)
21-11-2019 13:25:32.865 [main] INFO  c.d.dawangj.demo.DawangjApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
21-11-2019 13:25:33.435 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8080 (http)
21-11-2019 13:25:33.456 [main] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
21-11-2019 13:25:33.456 [main] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/9.0.21]
21-11-2019 13:25:33.519 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
21-11-2019 13:25:33.671 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize - Initializing ExecutorService 'applicationTaskExecutor'
21-11-2019 13:25:33.729 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping.<init> - Adding welcome page: class path resource [static/index.html]
21-11-2019 13:25:33.814 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 8080 (http) with context path ''
21-11-2019 13:25:33.818 [main] INFO  c.d.dawangj.demo.DawangjApplication.logStarted - Started DawangjApplication in 1.182 seconds (JVM running for 1.877)
21-11-2019 13:25:38.138 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring DispatcherServlet 'dispatcherServlet'
